LOCUS_ID	CATEGORY	TRAIT	CHR	BP	MARKER	GENE
34	Blood pressure	MAP	2	54969379	rs72806698	EML6
34	Electrolyte	K	2	55023600	rs17046344	EML6
34	Blood pressure	DBP	2	54969379	rs72806698	EML6
35	Hematological	MCHC	2	62523565	rs4672497	B3GNT2,TMEM17
35	Hematological	MCV	2	62523565	rs4672497	B3GNT2,TMEM17
36	Echocardiographic	EF	2	65238407	rs6546120	SLC1A4
36	Echocardiographic	FS	2	65238407	rs6546120	SLC1A4
36	Echocardiographic	LVDs	2	65238407	rs6546120	SLC1A4
37	Protein	AG	2	100814893	rs893245	AFF3,LINC01104
37	Protein	NAP	2	100813499	rs6740838	AFF3,LINC01104
38	Hematological	Mono	2	111791653	rs3789087	ACOXL
38	Protein	AG	2	111754921	rs1157083	ACOXL
38	Protein	NAP	2	111774638	rs4848367	ACOXL
39	Kidney-related	sCr	2	113967075	rs11123169	PSD4,PAX8
39	Kidney-related	eGFR	2	113967075	rs11123169	PSD4,PAX8
39	Kidney-related	BUN	2	113993385	rs7576384	PAX8-AS1
40	Kidney-related	sCr	2	122038783	rs36096257	TFCP2L1
40	Kidney-related	BUN	2	122039095	rs7596689	TFCP2L1
40	Kidney-related	eGFR	2	122038783	rs36096257	TFCP2L1
41	Hematological	Mono	2	136692553	rs6711493	DARS
41	Hematological	Neutro	2	136695772	rs149881318	DARS
41	Hematological	WBC	2	136713108	rs75874749	DARS
42	Protein	AG	2	136893864	rs16832995	CXCR4,THSD7B
42	Protein	NAP	2	136893864	rs16832995	CXCR4,THSD7B
43	Hematological	RBC	2	145193326	rs10164806	ZEB2
43	Hematological	MCV	2	145193326	rs10164806	ZEB2
43	Hematological	MCHC	2	145184316	rs10192562	ZEB2
43	Hematological	MCH	2	145182957	rs10210063	ZEB2
44	Hematological	Neutro	2	160705485	rs12469306	LY75,LY75-CD302
44	Hematological	Plt	2	160706544	rs78685880	LY75,LY75-CD302
45	Blood pressure	MAP	2	165011827	rs10184428	FIGN,GRB14
45	Blood pressure	SBP	2	165011827	rs10184428	FIGN,GRB14
46	Metabolic	HbA1c	2	169767148	rs12053049	G6PC2
46	Metabolic	BS	2	169767148	rs12053049	G6PC2
47	Liver-related	GGT	2	169834370	rs72623176	ABCB11
47	Liver-related	AST	2	169870295	rs2241339	ABCB11
47	Liver-related	ALT	2	169870295	rs2241339	ABCB11
48	Kidney-related	eGFR	2	170200452	rs16856823	LRP2
48	Kidney-related	UA	2	170200452	rs16856823	LRP2
48	Kidney-related	sCr	2	170200452	rs16856823	LRP2
49	Hematological	Baso	2	182329460	rs3770136	ITGA4
49	Hematological	Mono	2	182319301	rs1449263	LOC101927156,ITGA4
49	Hematological	WBC	2	182308352	rs6740847	LOC101927156,ITGA4
50	Hematological	MCV	2	211540507	rs1047891	CPS1
50	Liver-related	ALT	2	211540507	rs1047891	CPS1
50	Hematological	MCH	2	211540507	rs1047891	CPS1
50	Kidney-related	sCr	2	211543055	rs715	CPS1
50	Kidney-related	eGFR	2	211562924	rs72944180	CPS1,ERBB4
51	Kidney-related	eGFR	2	217646555	rs10189682	IGFBP5,TNP1
51	Kidney-related	sCr	2	217676628	rs35925637	IGFBP5,TNP1
52	Hematological	Neutro	2	219062001	rs78107966	CXCR1,ARPC2
52	Hematological	WBC	2	219062001	rs78107966	CXCR1,ARPC2
53	Liver-related	GGT	2	233520254	rs13395911	EFHD1
53	Liver-related	ALT	2	233520254	rs13395911	EFHD1
53	Liver-related	AST	2	233503989	rs10165093	EFHD1
54	Hematological	MCH	2	236365350	rs9789377	SH3BP4,AGAP1
54	Hematological	MCV	2	236365350	rs9789377	SH3BP4,AGAP1
55	Hematological	Plt	3	12270661	rs6779488	SYN2,PPARG
55	Kidney-related	eGFR	3	12095130	rs307558	SYN2
55	Kidney-related	sCr	3	12095130	rs307558	SYN2
56	Metabolic	HDL-C	3	12374332	rs117350179	PPARG
56	Electrolyte	K	3	12399407	rs12629751	PPARG
57	Blood pressure	DBP	3	14895105	rs4684242	FGD5
57	Blood pressure	MAP	3	14895105	rs4684242	FGD5
57	Blood pressure	SBP	3	14895105	rs4684242	FGD5
58	Hematological	MCH	3	16940157	rs115792481	PLCL2
58	Hematological	RBC	3	16966681	rs144614991	PLCL2
58	Hematological	MCV	3	16931560	rs79638618	PLCL2
59	Hematological	MCH	3	24343330	rs1505307	THRB
59	Hematological	MCV	3	24343330	rs1505307	THRB
59	Hematological	RBC	3	24343330	rs1505307	THRB
60	Blood pressure	SBP	3	27592860	rs4462906	SLC4A7,EOMES
60	Blood pressure	MAP	3	27592860	rs4462906	SLC4A7,EOMES
60	Blood pressure	PP	3	27592860	rs4462906	SLC4A7,EOMES
61	Blood pressure	DBP	3	53565628	rs3774427	CACNA1D
61	Blood pressure	MAP	3	53565628	rs3774427	CACNA1D
61	Blood pressure	SBP	3	53590465	rs9814480	CACNA1D
62	Kidney-related	BUN	3	121714684	rs9816720	ILDR1
62	Kidney-related	eGFR	3	121635818	rs2332050	SLC15A2
63	Hematological	Baso	3	128317997	rs6782812	LINC01565,RPN1
63	Hematological	Eosino	3	128320345	rs7646596	LINC01565,RPN1
63	Hematological	Mono	3	128308884	rs2734037	LINC01565,RPN1
64	Hematological	MCHC	3	133491445	rs8177297	TF
64	Hematological	MCV	3	133523973	rs12490148	SRPRB
64	Hematological	MCH	3	133501407	rs9843728	TF,SRPRB
65	Liver-related	ALT	3	135926622	rs645040	MSL2,PCCB
65	Liver-related	TBil	3	136020541	rs1711171	PCCB
66	Protein	NAP	3	141169112	rs16851438	ZBTB38
66	Protein	TP	3	141162128	rs62282002	ZBTB38
67	Hematological	MCV	3	142248498	rs9683085	ATR
67	Hematological	RBC	3	142179497	rs6780250	ATR
67	Hematological	MCH	3	142277575	rs2227930	ATR
68	Liver-related	GGT	3	149210443	rs9857970	TM4SF4
68	Liver-related	ALT	3	149212268	rs62269283	TM4SF4
69	Kidney-related	BUN	3	169092038	rs76273615	MECOM
69	Kidney-related	eGFR	3	169150632	rs16853722	MECOM
70	Hematological	Plt	3	169487437	rs12637184	ACTRT3
70	Hematological	RBC	3	169500487	rs3772190	MYNN
70	Hematological	MCV	3	169477506	rs12638862	MECOM,TERC
70	Hematological	MCH	3	169477506	rs12638862	MECOM,TERC
71	Metabolic	HbA1c	3	170732599	rs7356034	SLC2A2
71	Metabolic	BS	3	170735099	rs11924032	SLC2A2
72	Metabolic	BS	3	185507299	rs11705729	IGF2BP2
72	Metabolic	HbA1c	3	185518921	rs76922886	IGF2BP2
73	Kidney-related	eGFR	3	186434491	rs5029970	KNG1
73	Other biochemical	APTT	3	186458910	rs5030081	KNG1
74	Protein	NAP	3	186735690	rs5001409	ST6GAL1
74	Protein	AG	3	186734466	rs967367	ST6GAL1
75	Hematological	MCH	3	195924036	rs62410539	ZDHHC19
75	Hematological	RBC	3	195924036	rs62410539	ZDHHC19
75	Hematological	MCV	3	195924036	rs62410539	ZDHHC19
76	Kidney-related	eGFR	4	3421309	rs4690095	RGS12
76	Protein	Alb	4	3421309	rs4690095	RGS12
76	Hematological	Plt	4	3389811	rs6828057	RGS12
76	Liver-related	GGT	4	3446883	rs3752442	HGFAC
76	Protein	TP	4	3451594	rs28581225	HGFAC
76	Kidney-related	sCr	4	3421309	rs4690095	RGS12
76	Electrolyte	Ca	4	3468436	rs13103813	DOK7
76	Metabolic	TG	4	3446883	rs3752442	HGFAC
76	Metabolic	TC	4	3425030	rs58143210	RGS12
77	Hematological	Plt	4	7033671	rs12119	LOC100129931
77	Hematological	Mono	4	7042349	rs6815294	LOC100129931
78	Hematological	RBC	4	39371096	rs62310771	MIR1273H
78	Hematological	MCH	4	39361069	rs6835111	MIR1273H
78	Hematological	MCV	4	39361069	rs6835111	MIR1273H
79	Hematological	MCV	4	55395024	rs218238	PDGFRA,KIT
79	Hematological	MCH	4	55395565	rs218240	PDGFRA,KIT
79	Hematological	Ht	4	55394172	rs218237	PDGFRA,KIT
79	Hematological	RBC	4	55395024	rs218238	PDGFRA,KIT
79	Hematological	Hb	4	55386878	rs1848347	PDGFRA,KIT
79	Hematological	Plt	4	55400607	rs141749350	PDGFRA,KIT
80	Hematological	WBC	4	57885963	rs10016631	POLR2B
80	Hematological	Plt	4	57812765	rs6852997	REST,NOA1
81	Hematological	Ht	4	69886151	rs11730623	UGT2B10
81	Hematological	Hb	4	69886151	rs11730623	UGT2B10
82	Hematological	Neutro	4	74971196	rs549280	CXCL2,MTHFD2L
82	Hematological	WBC	4	74971196	rs549280	CXCL2,MTHFD2L
83	Liver-related	ALT	4	77416627	rs12500824	SHROOM3
83	Kidney-related	sCr	4	77401452	rs142647267	SHROOM3
83	Kidney-related	eGFR	4	77401452	rs142647267	SHROOM3
84	Liver-related	AST	4	79619199	rs75759936	LINC01094,BMP2K
84	Protein	Alb	4	79619199	rs75759936	LINC01094,BMP2K
84	Protein	NAP	4	79619199	rs75759936	LINC01094,BMP2K
84	Protein	AG	4	79619199	rs75759936	LINC01094,BMP2K
84	Protein	TP	4	79619199	rs75759936	LINC01094,BMP2K
85	Blood pressure	DBP	4	81181072	rs10857147	PRDM8,FGF5
85	Blood pressure	SBP	4	81181072	rs10857147	PRDM8,FGF5
85	Kidney-related	UA	4	81181072	rs10857147	PRDM8,FGF5
85	Electrolyte	K	4	81182554	rs12509595	PRDM8,FGF5
85	Kidney-related	sCr	4	81181072	rs10857147	PRDM8,FGF5
85	Hematological	RBC	4	81182554	rs12509595	PRDM8,FGF5
85	Blood pressure	MAP	4	81181072	rs10857147	PRDM8,FGF5
85	Kidney-related	BUN	4	81182554	rs12509595	PRDM8,FGF5
85	Blood pressure	PP	4	81181072	rs10857147	PRDM8,FGF5
85	Kidney-related	eGFR	4	81182554	rs12509595	PRDM8,FGF5
86	Hematological	Lym	4	83543279	rs1806559	LINC00575
86	Hematological	Mono	4	83575212	rs115007843	SCD5
86	Hematological	WBC	4	83556631	rs6832779	SCD5
87	Liver-related	TBil	4	87984331	rs28432336	AFF1
87	Hematological	Baso	4	88057353	rs1408	AFF1
87	Hematological	Hb	4	88049850	rs1037814	AFF1
87	Hematological	Ht	4	88040909	rs342437	AFF1
87	Hematological	MCV	4	87889437	rs17012216	AFF1
87	Hematological	MCH	4	87976178	rs6819155	AFF1
88	Metabolic	TG	4	88168178	rs35469118	KLHL8,MIR5705
88	Liver-related	AST	4	88176030	rs10001545	KLHL8,MIR5705
88	Liver-related	ALT	4	88176030	rs10001545	KLHL8,MIR5705
89	Kidney-related	UA	4	89054667	rs4148155	ABCG2
89	Kidney-related	eGFR	4	89036353	rs2725261	ABCG2
90	Kidney-related	sCr	4	101124422	rs6851943	LOC101929353
90	Kidney-related	eGFR	4	101124422	rs6851943	LOC101929353
91	Protein	TP	4	103403494	rs142592088	SLC39A8,NFKB1
91	Protein	AG	4	103482453	rs60371688	NFKB1
91	Protein	NAP	4	103444698	rs1585213	NFKB1
92	Protein	AG	4	110924360	rs11569103	EGF
92	Hematological	Plt	4	110931939	rs11569142	EGF
92	Protein	NAP	4	110905976	rs2298995	EGF
92	Hematological	MCV	4	110898815	rs887027	EGF
93	Liver-related	GGT	4	146821410	rs4835265	ZNF827
93	Liver-related	AST	4	146821410	rs4835265	ZNF827
93	Liver-related	ALT	4	146821410	rs4835265	ZNF827
94	Other biochemical	APTT	4	155537321	rs12644950	FGG,LRAT
94	Other biochemical	PT	4	155527436	rs2066861	FGG
95	Protein	TP	4	177430644	rs447324	SPCS3,VEGFC
95	Protein	Alb	4	177407175	rs1449727	SPCS3,VEGFC
96	Hematological	MCV	5	1284135	rs4449583	TERT
96	Protein	NAP	5	1280830	rs4975538	TERT
96	Hematological	RBC	5	1284135	rs4449583	TERT
96	Hematological	MCH	5	1284135	rs4449583	TERT
96	Hematological	Plt	5	1286516	rs2736100	TERT
96	Hematological	WBC	5	1284135	rs4449583	TERT
96	Hematological	Neutro	5	1284135	rs4449583	TERT
97	Blood pressure	MAP	5	32829929	rs1177765	NPR3,LOC340113
97	Blood pressure	SBP	5	32829929	rs1177765	NPR3,LOC340113
98	Kidney-related	eGFR	5	34510387	rs7714709	C1QTNF3-AMACR,RAI14
98	Kidney-related	sCr	5	34510387	rs7714709	C1QTNF3-AMACR,RAI14
99	Protein	NAP	5	39373689	rs700239	DAB2
99	Protein	AG	5	39373689	rs700239	DAB2
100	Hematological	Plt	5	55806751	rs459193	C5orf67
100	Metabolic	TG	5	55820584	rs154254	C5orf67
101	Protein	AG	5	72252475	rs7713398	FCHO2
101	Protein	Alb	5	72236768	rs268794	TNPO1,FCHO2
101	Protein	NAP	5	72252475	rs7713398	FCHO2
101	Liver-related	AST	5	72395189	rs628401	FCHO2,TMEM171
101	Liver-related	ZTT	5	72281315	rs258888	FCHO2
102	Protein	NAP	5	95253108	rs3777189	ELL2
102	Protein	AG	5	95262044	rs3777184	ELL2
103	Hematological	MCV	5	111061883	rs56084922	STARD4-AS1
103	Hematological	RBC	5	111083859	rs3797733	NREP
103	Hematological	MCH	5	111083859	rs3797733	NREP
103	Hematological	Plt	5	111061847	rs56116444	STARD4-AS1
104	Kidney-related	sCr	5	151107096	rs11742501	CTB-113P19.1,ATOX1
104	Kidney-related	eGFR	5	151107096	rs11742501	CTB-113P19.1,ATOX1
105	Hematological	MCV	5	154026473	rs34165383	MIR3141,MIR1303
105	Hematological	MCHC	5	154050914	rs11167699	MIR3141,MIR1303
105	Hematological	MCH	5	154034176	rs35788208	MIR3141,MIR1303
106	Metabolic	LDL-C	5	156390297	rs6882076	TIMD4
106	Metabolic	TC	5	156394518	rs11745603	TIMD4,HAVCR1
107	Hematological	MCV	5	173287851	rs875741	LINC01485,CPEB4
107	Hematological	MCH	5	173284933	rs2659187	LINC01485,CPEB4
108	Blood pressure	SBP	5	174238893	rs79581935	MIR4634,FLJ16171
108	Blood pressure	MAP	5	174238893	rs79581935	MIR4634,FLJ16171
109	Electrolyte	P	5	176806636	rs35716097	RGS14,SLC34A1
109	Hematological	Ht	5	176824137	rs7447593	SLC34A1
109	Hematological	RBC	5	176824137	rs7447593	SLC34A1
109	Other biochemical	APTT	5	176836532	rs1801020	F12
109	Kidney-related	sCr	5	176813404	rs3812036	SLC34A1
109	Kidney-related	eGFR	5	176807197	rs12659266	RGS14,SLC34A1
110	Protein	AG	6	240856	rs9501778	LOC285766,DUSP22
110	Protein	NAP	6	222601	rs6916016	LOC285766,DUSP22
110	Protein	TP	6	231579	rs73358088	LOC285766,DUSP22
111	Hematological	MCHC	6	16252059	rs7752579	GMPR
111	Hematological	MCH	6	16269363	rs9477074	GMPR
111	Hematological	MCV	6	16269363	rs9477074	GMPR
112	Hematological	WBC	6	16758425	rs1322599	ATXN1
112	Hematological	Neutro	6	16750011	rs562760	ATXN1
113	Metabolic	BS	6	20667382	rs9358356	CDKAL1
113	Metabolic	HbA1c	6	20675792	rs35261542	CDKAL1
113	Electrolyte	Cl	6	20720818	rs9350272	CDKAL1
114	Hematological	MCHC	6	26091179	rs1799945	HFE
114	Hematological	MCV	6	26114508	rs198833	HIST1H1T,HIST1H2BC
114	Hematological	MCH	6	26091179	rs1799945	HFE
115	Hematological	WBC	6	31246823	rs114398276	HLA-C,HLA-B
115	Hematological	Mono	6	31241639	rs114208039	HLA-C,HLA-B
115	Hematological	MCV	6	31235746	rs112390170	HLA-C
115	Hematological	MCH	6	31234643	rs185207145	HCG27,HLA-C
115	Hematological	Baso	6	31229307	rs113721499	HCG27,HLA-C
116	Protein	AG	6	31320645	rs11753309	HLA-C,HLA-B
116	Protein	NAP	6	31320645	rs11753309	HLA-C,HLA-B
116	Protein	Alb	6	31313148	rs114584519	HLA-C,HLA-B
117	Hematological	Hb	6	32368561	rs146109634	BTNL2
117	Liver-related	ALP	6	32368560	rs144391488	BTNL2
118	Kidney-related	eGFR	6	32580502	rs117463603	HLA-DRB1,HLA-DQA1
118	Metabolic	HDL-C	6	32560883	rs28366301	HLA-DRB1,HLA-DQA1
118	Kidney-related	sCr	6	32600411	rs115151282	HLA-DRB1,HLA-DQA1
118	Liver-related	TBil	6	32574360	rs2647074	HLA-DRB1,HLA-DQA1
118	Hematological	Lym	6	32583146	rs113924863	HLA-DRB1,HLA-DQA1
119	Hematological	MCV	6	41925159	rs9349205	CCND3
119	Hematological	MCH	6	41925159	rs9349205	CCND3
119	Hematological	RBC	6	41907855	rs1410492	CCND3
120	Blood pressure	MAP	6	43262704	rs16896398	TTBK1,SLC22A7
120	Blood pressure	SBP	6	43262704	rs16896398	TTBK1,SLC22A7
120	Blood pressure	DBP	6	43262704	rs16896398	TTBK1,SLC22A7
120	Kidney-related	UA	6	43334755	rs9394948	ZNF318
121	Metabolic	HDL-C	6	43764551	rs1358980	VEGFA,LINC01512
121	Metabolic	TG	6	43756863	rs2146324	VEGFA,LINC01512
122	Kidney-related	sCr	6	43806609	rs881858	VEGFA,LINC01512
122	Kidney-related	eGFR	6	43806609	rs881858	VEGFA,LINC01512
123	Hematological	Hb	6	44030011	rs833805	LOC101929705
123	Hematological	Ht	6	44030011	rs833805	LOC101929705
123	Hematological	RBC	6	44031083	rs833806	LOC101929705
124	Kidney-related	eGFR	6	54764320	rs4715491	FAM83B
124	Kidney-related	BUN	6	54764320	rs4715491	FAM83B
125	Kidney-related	sCr	6	90109374	rs6907843	RRAGD
125	Kidney-related	eGFR	6	90109374	rs6907843	RRAGD
126	Kidney-related	sCr	6	100890991	rs241812	SIM1
126	Kidney-related	eGFR	6	100890991	rs241812	SIM1
127	Hematological	MCV	6	109634599	rs13191948	CCDC162P,CD164
127	Hematological	MCH	6	109632799	rs9400273	CCDC162P,CD164
127	Hematological	RBC	6	109634599	rs13191948	CCDC162P,CD164
128	Blood pressure	DBP	6	127146879	rs1105956	MIR588,RSPO3
128	Blood pressure	MAP	6	127146879	rs1105956	MIR588,RSPO3
129	Kidney-related	sCr	6	131882571	rs2781656	AKAP7,ARG1
129	Kidney-related	eGFR	6	131882571	rs2781656	AKAP7,ARG1
130	Hematological	Ht	6	135406178	rs1331309	HBS1L,MYB
130	Hematological	MCV	6	135419018	rs9399137	HBS1L,MYB
130	Metabolic	HbA1c	6	135418916	rs7776054	HBS1L,MYB
130	Hematological	WBC	6	135402339	rs9399136	HBS1L,MYB
130	Hematological	MCH	6	135418916	rs7776054	HBS1L,MYB
130	Hematological	MCHC	6	135418916	rs7776054	HBS1L,MYB
130	Hematological	Eosino	6	135415208	rs2210366	HBS1L,MYB
130	Hematological	Hb	6	135402339	rs9399136	HBS1L,MYB
130	Hematological	Plt	6	135419018	rs9399137	HBS1L,MYB
130	Hematological	RBC	6	135411228	rs9376090	HBS1L,MYB
130	Liver-related	AST	6	135419631	rs9389268	HBS1L,MYB
131	Protein	NAP	6	139635265	rs6935717	TXLNB,CITED2
131	Protein	AG	6	139635265	rs6935717	TXLNB,CITED2
132	Hematological	MCV	6	139838419	rs628751	LINC01625,LOC100132735
132	Hematological	MCH	6	139838419	rs628751	LINC01625,LOC100132735
133	Kidney-related	sCr	6	160669081	rs316020	SLC22A2
133	Kidney-related	eGFR	6	160669081	rs316020	SLC22A2
134	Hematological	MCH	6	164459375	rs4709818	QKI,MEAT6
134	Hematological	MCV	6	164459375	rs4709818	QKI,MEAT6
134	Hematological	RBC	6	164459375	rs4709818	QKI,MEAT6
135	Hematological	Hb	7	1293010	rs1533988	UNCX,MICALL2
135	Kidney-related	sCr	7	1293010	rs1533988	UNCX,MICALL2
135	Kidney-related	eGFR	7	1293010	rs1533988	UNCX,MICALL2
135	Kidney-related	UA	7	1298448	rs4724828	UNCX,MICALL2
135	Hematological	RBC	7	1293010	rs1533988	UNCX,MICALL2
135	Hematological	Ht	7	1293010	rs1533988	UNCX,MICALL2
135	Kidney-related	BUN	7	1293010	rs1533988	UNCX,MICALL2
136	Other biochemical	LDH	7	17860661	rs2723552	SNX13
136	Other biochemical	CK	7	17979793	rs3800963	SNX13
137	Protein	AG	7	22740312	rs4722167	LOC401312,LOC541472
137	Other biochemical	CRP	7	22735932	rs79802086	LOC401312,LOC541472
137	Hematological	MCH	7	22736884	rs76659285	LOC401312,LOC541472
137	Protein	NAP	7	22740312	rs4722167	LOC401312,LOC541472
137	Protein	Alb	7	22742056	rs74702905	LOC401312,LOC541472
138	Liver-related	GGT	7	26022414	rs7780562	MIR148A,NFE2L3
138	Metabolic	TC	7	26014642	rs6970673	MIR148A,NFE2L3
138	Metabolic	LDL-C	7	26015392	rs28537499	MIR148A,NFE2L3
139	Electrolyte	K	7	27245101	rs929250	HOTTIP
139	Blood pressure	SBP	7	27243962	rs4722675	HOTTIP
139	Blood pressure	MAP	7	27241660	rs2067087	HOTTIP
139	Blood pressure	DBP	7	27241660	rs2067087	HOTTIP
140	Hematological	WBC	7	28717030	rs57123607	CREB5
140	Hematological	Neutro	7	28723407	rs886816	CREB5
141	Metabolic	BS	7	44231886	rs6975024	GCK,YKT6
141	Metabolic	HbA1c	7	44231886	rs6975024	GCK,YKT6
142	Protein	NAP	7	50258479	rs4598207	C7orf72,IKZF1
142	Hematological	Mono	7	50313352	rs10276619	C7orf72,IKZF1
142	Metabolic	HDL-C	7	50319807	rs1026422	C7orf72,IKZF1
142	Metabolic	TC	7	50289669	rs55935382	C7orf72,IKZF1
142	Protein	TP	7	50258479	rs4598207	C7orf72,IKZF1
